180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440,1450,1460,1470,1480,1490,1500
1.3702,1.5348,1.5358,1.46,1.4328,1.4426,1.3626,1.365,1.6273,1.9519,3.3553,3.8349,4.7316,5.2353,5.3913,5.2911,4.9687,4.4773,3.87,3.6613,3.4984,3.3753,3.2861,3.2248,3.1856,3.1624,3.1494,3.1405,3.13,3.1041,3.08,3.0538,3.03,3.0138,3,2.985,2.97,2.9544,2.94,2.9294,2.92,2.91,2.9,2.8894,2.88,2.875,2.87,2.86,2.85,2.8444,2.84,2.835,2.83,2.825,2.82,2.8144,2.81,2.81,2.81,2.8056,2.8,2.7944,2.79,2.79,2.79,2.785,2.78,2.78,2.78,2.775,2.77,2.77,2.77,2.765,2.76,2.7594,2.76,2.7606,2.76,2.755,2.75,2.749,2.75,2.7498,2.7494,2.7488,2.7482,2.7474,2.7465,2.7456,2.7445,2.7435,2.7423,2.7412,2.74,2.739,2.738,2.737,2.736,2.7349,2.7339,2.7329,2.7319,2.731,2.73,2.7293,2.7287,2.7281,2.7275,2.727,2.7265,2.726,2.7255,2.725,2.7245,2.724,2.7235,2.723,2.7225,2.7219,2.7213,2.7207,2.72,2.7193,2.7185,2.7177,2.7168,2.7159,2.7149,2.7138,2.7126,2.7113,2.71
1.998,1.8312,1.6958,1.65,1.8063,2.084,2.4535,2.8473,3.1974,3.4318,3.5606,3.5347,3.2803,2.7344,2.0759,1.5698,1.0926,0.6508,0.251,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
